Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
6.80000000e-02 5.61445663e+00 9.35828071e+00 9.77484649e-01 4.86945633e-03 2.59391369e-03 2.10508162e-02
7.00000000e-02 5.44891055e+00 9.07199923e+00 9.76954169e-01 5.02063880e-03 2.66636472e-03 2.09934127e-02
7.40000000e-02 5.15115539e+00 8.54646734e+00 9.76730957e-01 5.21179367e-03 2.81522240e-03 2.10390439e-02
7.70000000e-02 4.91300358e+00 8.19948732e+00 9.71138642e-01 5.96424581e-03 2.91578884e-03 2.11777424e-02
8.10000000e-02 4.66734805e+00 7.75050438e+00 9.69432810e-01 6.01146752e-03 3.06004116e-03 2.09190165e-02
8.50000000e-02 4.43523262e+00 7.34952560e+00 9.67600023e-01 6.26948782e-03 3.20307828e-03 2.08433909e-02
9.00000000e-02 4.17019215e+00 6.89819283e+00 9.64772036e-01 6.67213357e-03 3.37955189e-03 2.07764422e-02
9.50000000e-02 3.93129742e+00 6.49207624e+00 9.61724844e-01 7.07378154e-03 3.55529931e-03 2.06938900e-02
1.01000000e-01 3.67323852e+00 6.05581857e+00 9.57698694e-01 7.57113639e-03 3.76478914e-03 2.06001460e-02
1.08000000e-01 3.40595054e+00 5.60472889e+00 9.52645344e-01 8.15707572e-03 4.00769644e-03 2.04712225e-02
1.15000000e-01 3.16779978e+00 5.20632626e+00 9.46780306e-01 8.78310747e-03 4.24876985e-03 2.03424420e-02
1.24000000e-01 2.89850783e+00 4.75650363e+00 9.38588663e-01 9.61057252e-03 4.55827772e-03 2.01647004e-02
1.35000000e-01 2.61336844e+00 4.28356767e+00 9.26748722e-01 1.06831049e-02 4.93408071e-03 1.99263453e-02
1.47000000e-01 2.34663259e+00 3.84338780e+00 9.11776602e-01 1.19427894e-02 5.34040649e-03 1.96390780e-02
1.61000000e-01 2.08092570e+00 3.40745664e+00 8.91635452e-01 1.35696168e-02 5.80572445e-03 1.92665194e-02
1.79000000e-01 1.79461514e+00 2.93996800e+00 8.62273089e-01 1.59735697e-02 6.37847839e-03 1.87266951e-02
2.00000000e-01 1.51931773e+00 2.49243599e+00 8.24664961e-01 1.94085403e-02 6.99005554e-03 1.80130392e-02
2.28000000e-01 1.22398264e+00 2.01373768e+00 7.70710165e-01 2.57593718e-02 7.67507305e-03 1.69488316e-02
2.65000000e-01 9.25183959e-01 1.54372670e+00 6.92998505e-01 4.25588074e-02 8.33414293e-03 1.55528390e-02
3.15000000e-01 6.30041800e-01 1.22074186e+00 5.57842639e-01 3.32589951e-01 8.85003411e-03 4.08797696e-03
3.88000000e-01 3.22309800e-01 2.59379376e-01 2.69152635e-01 8.54370695e-03 8.64113905e-03 6.75053828e-03
5.01000000e-01 5.52374424e-02 5.24431811e-02 6.04212961e-02 5.49099342e-03 4.30364668e-03 1.97775710e-03
6.97000000e-01 4.31506426e-03 1.50947282e-02 4.28046225e-02 3.52992812e-03 1.43005067e-03 7.88116444e-04
7.54000000e-01 1.14635040e-02 4.14819201e-02 2.75136576e-02 1.28363871e-03 1.15004632e-03 3.99542339e-04
8.19000000e-01 1.35867429e-02 3.95511562e-02 2.12287245e-02 7.56418774e-04 7.46781737e-04 3.12268045e-04
8.95000000e-01 6.23597208e-03 9.86859992e-03 1.80632724e-02 1.24814783e-03 5.65170213e-04 4.54665469e-04
9.38000000e-01 2.33038310e-03 1.48830844e-02 1.29070559e-02 8.13916794e-04 4.89876087e-04 2.91406955e-04
9.85000000e-01 5.30603692e-03 1.96346579e-02 1.77374507e-02 3.97793634e-04 3.28525626e-04 1.15256697e-04
1.03700000e+00 6.37239176e-03 8.90239980e-03 2.18414008e-02 6.43487907e-04 4.08914196e-04 2.39745245e-04
1.09500000e+00 8.91659124e-04 8.20047640e-03 7.01191548e-03 4.51589821e-04 2.14255140e-04 1.54167924e-04
1.16000000e+00 4.19952654e-03 1.06859439e-02 5.92970514e-03 2.92721296e-04 1.55879750e-04 7.75141541e-05
1.23500000e+00 6.38278494e-04 8.64826081e-03 3.35675995e-03 2.73270023e-04 1.26146472e-04 8.02954798e-05
1.27800000e+00 7.18345280e-04 6.55662511e-03 1.80023774e-03 1.52869438e-04 6.09203643e-05 4.54269448e-05
1.32400000e+00 1.70688012e-03 1.29406300e-03 1.70608281e-03 2.25458561e-04 9.22361152e-05 8.77181932e-05
1.37500000e+00 2.16771019e-03 4.51703882e-03 2.57743626e-03 9.99669658e-05 1.61343289e-04 2.16288975e-06
1.43200000e+00 1.23905214e-03 8.33660588e-04 2.34640865e-03 1.65815035e-04 6.01956303e-05 6.48416013e-05
1.49600000e+00 5.16419896e-04 2.98062692e-03 1.20098463e-03 8.33843509e-05 3.58461132e-05 2.23080322e-05
1.57000000e+00 4.39314485e-04 1.62718063e-03 1.13040364e-03 6.72937152e-05 3.66278558e-05 2.97566173e-05
1.65500000e+00 6.50089229e-04 1.79281910e-03 1.09094448e-03 6.30020292e-05 3.98394668e-05 1.99376392e-05
1.75500000e+00 3.29617021e-04 1.24485912e-03 7.00197737e-04 4.52931947e-05 1.68650598e-05 5.07103341e-06
1.87700000e+00 7.23494689e-05 3.69650309e-04 8.07830713e-04 5.59491492e-05 1.19675138e-05 1.42755952e-05
2.02700000e+00 4.98507445e-04 3.68956414e-04 7.48078764e-04 3.53440514e-05 5.57438706e-06 1.00746890e-05
2.22100000e+00 8.79704116e-05 2.36814866e-04 1.99294034e-04 1.86874083e-05 6.11542725e-06 8.02288017e-07
2.48300000e+00 1.73007902e-04 3.06951699e-04 1.04367137e-04 1.77411049e-05 7.32928281e-06 3.99117868e-06
2.86700000e+00 5.86658360e-05 1.60826203e-04 3.20678155e-05 8.55482706e-06 1.67071151e-06 2.37250994e-06
3.51100000e+00 4.47763101e-05 3.61903415e-05 3.03614792e-05 3.49685597e-06 6.64804454e-07 9.30794932e-07
Wave direction
1.57080e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
4.30000000e-02 2.42802759e-01 1.76088387e+01 1.00383212e+00 3.51088165e-03 3.03618936e-05 4.40773359e-04
4.40000000e-02 2.41459851e-01 1.72057033e+01 1.00405907e+00 3.60461446e-03 3.13096976e-05 4.34848365e-04
4.50000000e-02 2.39632174e-01 1.68204531e+01 1.00424834e+00 3.69231986e-03 3.23648311e-05 4.30786134e-04
